														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
		CHAMBER	THROAT	EXIT	EXIT	EXIT	EXIT	EXIT	EXIT	EXIT	EXIT	EXIT	EXIT	EXIT
Pinf/P		1	1.7244	1307.15	348.95	216.72	120.7	56.946	19.665	13.307	10.311	7.4565	4.7489	3.4278
"P,"	BAR	12	6.9588	0.00918	0.03439	0.05537	0.09942	0.21073	0.61021	0.9018	1.1638	1.6093	2.5269	3.5007
"T,"	K	3238.98	3090.17	1325.84	1681.07	1826.62	2012.64	2238.35	2504.3	2594.8	2653.65	2728.93	2835.69	2914.98
"RHO,"	KG/CU M	1.1745	7.2359-1	2.3919-3	7.0658-3	1.0468-2	1.7042-2	3.2335-2	8.2466-2	1.1679-1	1.4664-1	1.9589-1	2.9314-1	3.9219-1
"H,"	KJ/KG	-337.69	-877.85	-5281.03	-4708.58	-4466.78	-4141.35	-3677.11	-2936.8	-2641.51	-2441.87	-2180.1	-1800.41	-1514.45
"U,"	KJ/KG	-1359.39	-1839.55	-5664.84	-5195.27	-4995.72	-4724.72	-4328.81	-3676.76	-3413.68	-3235.47	-3001.64	-2662.41	-2407.07
"G,"	KJ/KG	-34408.3	-33383.1	-19227.4	-22391.6	-23680.9	-25312.1	-27222.2	-29279.4	-29936	-30355.4	-30885.5	-31628.8	-32176.9
"S,"	KJ/(KG)(K)	10.5189	10.5189	10.5189	10.5189	10.5189	10.5189	10.5189	10.5189	10.5189	10.5189	10.5189	10.5189	10.5189
														
"M,"	(1/n)	26.359	26.716	28.722	28.719	28.713	28.685	28.557	28.139	27.94	27.802	27.619	27.352	27.152
(dLV/dLP)t		-1.03439	-1.03069	-1	-1.00005	-1.00016	-1.00071	-1.00359	-1.01196	-1.01524	-1.01733	-1.01992	-1.02339	-1.02581
(dLV/dLT)p		1.6835	1.6421	1	1.0016	1.0055	1.023	1.1057	1.3138	1.385	1.4274	1.4767	1.5371	1.5752
"Cp,"	KJ/(KG)(K)	6.0902	5.9738	1.591	1.643	1.697	1.8792	2.6013	4.1629	4.6361	4.9014	5.1919	5.5177	5.7027
GAMMAs		1.1266	1.1233	1.2224	1.2147	1.2083	1.1915	1.1537	1.1243	1.1209	1.1198	1.1192	1.1195	1.1204
SON	"VEL,M/SEC"	1072.9	1039.4	685	768.9	799.4	833.7	867.1	912.1	930.3	942.7	958.9	982.4	1000
MACH	NUMBER	0	1	4.59	3.845	3.595	3.308	2.98	2.5	2.307	2.176	2.002	1.741	1.534
														
PERFORMANCE	PARAMETERS													
														
Ae/At			1	100	36	25	16	9	4	3	2.5	2	1.5	1.25
"CSTAR,"	M/SEC		1595.6	1595.6	1595.6	1595.6	1595.6	1595.6	1595.6	1595.6	1595.6	1595.6	1595.6	1595.6
CF			0.6514	1.9706	1.853	1.801	1.7286	1.6197	1.4289	1.3453	1.2857	1.2031	1.072	0.9615
"Ivac,"	M/SEC		1964.6	3266.4	3121.3	3057.8	2969.6	2836.5	2604.5	2506.3	2438.3	2347.6	2214.4	2116
"Isp,"	M/SEC		1039.4	3144.3	2956.6	2873.7	2758.1	2584.3	2280	2146.5	2051.4	1919.6	1710.4	1534.1
														
														
AeAt	CF	Thrust	Pc	At	Ae	rt	re	P	T	Son Vel	MACH	Vel		
100	1.9706	5500	1.20E+06	2.33E-03	2.33E-01	2.72E-02	2.72E-01	0.00918	1325.84	685	4.59	3144.15		
36	1.853	5500	1.20E+06	2.47E-03	8.90E-02	2.81E-02	1.68E-01	0.03439	1681.07	768.9	3.845	2956.4205		
25	1.801	5500	1.20E+06	2.54E-03	6.36E-02	2.85E-02	1.42E-01	0.05537	1826.62	799.4	3.595	2873.843		
16	1.7286	5500	1.20E+06	2.65E-03	4.24E-02	2.91E-02	1.16E-01	0.09942	2012.64	833.7	3.308	2757.8796		
9	1.6197	5500	1.20E+06	2.83E-03	2.55E-02	3.00E-02	9.00E-02	0.21073	2238.35	867.1	2.98	2583.958		
4	1.4289	5500	1.20E+06	3.21E-03	1.28E-02	3.20E-02	6.39E-02	0.61021	2504.3	912.1	2.5	2280.25		
3	1.3453	5500	1.20E+06	3.41E-03	1.02E-02	3.29E-02	5.70E-02	0.9018	2594.8	930.3	2.307	2146.2021		
2.5	1.2857	5500	1.20E+06	3.56E-03	8.91E-03	3.37E-02	5.33E-02	1.1638	2653.65	942.7	2.176	2051.3152		
2	1.2031	5500	1.20E+06	3.81E-03	7.62E-03	3.48E-02	4.92E-02	1.6093	2728.93	958.9	2.002	1919.7178		
1.5	1.072	5500	1.20E+06	4.28E-03	6.41E-03	3.69E-02	4.52E-02	2.5269	2835.69	982.4	1.741	1710.3584		
1.25	0.9615	5500	1.20E+06	4.77E-03	5.96E-03	3.90E-02	4.36E-02	3.5007	2914.98	1000	1.534	1534		
